Listing_ID,Page_Slug,Meta_Title,Meta_Description,Project_Name,Property_Type,Developer_Name,RERA_Number,Total_Area_Acres,Total_Units,Project_Status,Possession_Date,Project_Description,Key_Highlights,Unit_Configurations,Min_Size_Sqft,Max_Size_Sqft,Price_Per_Sqft,Base_Price_Min_Lakhs,Base_Price_Max_Lakhs,Location_Area,Full_Address,Google_Maps_Embed_Link,Gallery_Image_URLs,Floorplan_Image_URLs,Video_Link
ALP016,sumadhura-gardens-brook,Sumadhura Gardens: 2/3 BHK Flats in Shamshabad,"View amenities, floor plans, and price for Sumadhura Gardens by The Brook in Shamshabad, Hyderabad.",Sumadhura Gardens By The Brook,Apartment,Sumadhura Infracon Pvt Ltd,P02400006812,9.32,908,Under Construction,"Sep, 2025",Check out this residential project...,"72% Open Space, G+44 Floors","2 BHK, 2.5 BHK, 3 BHK",1285,1680,6850,88,120,Shamshabad / Kokapet,"228 Of Gaganpahad Village, Shamshabad","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4652.900164949814!2d78.41266597516261!3d17.285415683584553!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbbd3aea353497%3A0x9850075d8f0d1b7e!2sSumadhura&#39;s%20-%20Gardens%20By%20The%20Brook!5e1!3m2!1sen!2sin!4v1761048269754!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","https://salessteer.com/crmdemo/attachments/galarys/926c9b18d7241e4cd24ac8d1bd57e025.webp,https://salessteer.com/crmdemo/attachments/galarys/e1a32ee3f08e04ed42e17e76c22a1f58.webp, https://salessteer.com/crmdemo/attachments/galarys/fac4f05190d81e11b8b89bac33812041.webp",,https://www.youtube.com/watch?v=WDdZ1XSYsgU
ALP016,sumadhura-gardens-brook,Sumadhura Gardens: 2/3 BHK Flats in Shamshabad,"View amenities, floor plans, and price for Sumadhura Gardens by The Brook in Shamshabad, Hyderabad.",Sumadhura Gardens By The Brook,Apartment,Sumadhura Infracon Pvt Ltd,P02400006812,9.32,908,Under Construction,"Sep, 2025",Check out this residential project...,"72% Open Space, G+44 Floors","2 BHK, 2.5 BHK, 3 BHK",1285,1680,6850,88,120,Shamshabad / Kokapet,"228 Of Gaganpahad Village, Shamshabad","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4652.900164949814!2d78.41266597516261!3d17.285415683584553!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbbd3aea353497%3A0x9850075d8f0d1b7e!2sSumadhura&#39;s%20-%20Gardens%20By%20The%20Brook!5e1!3m2!1sen!2sin!4v1761048269754!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","https://salessteer.com/crmdemo/attachments/galarys/926c9b18d7241e4cd24ac8d1bd57e025.webp,https://salessteer.com/crmdemo/attachments/galarys/e1a32ee3f08e04ed42e17e76c22a1f58.webp, https://salessteer.com/crmdemo/attachments/galarys/fac4f05190d81e11b8b89bac33812041.webp",,https://www.youtube.com/watch?v=WDdZ1XSYsgU
ALP016,sumadhura-gardens-brook,Sumadhura Gardens: 2/3 BHK Flats in Shamshabad,"View amenities, floor plans, and price for Sumadhura Gardens by The Brook in Shamshabad, Hyderabad.",Sumadhura Gardens By The Brook,Apartment,Sumadhura Infracon Pvt Ltd,P02400006812,9.32,908,Ready to Move,"Sep, 2025",Check out this residential project...,"72% Open Space, G+44 Floors","2 BHK, 2.5 BHK, 3 BHK",1285,1680,6850,88,120,Shamshabad / Kokapet,"228 Of Gaganpahad Village, Shamshabad","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4652.900164949814!2d78.41266597516261!3d17.285415683584553!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbbd3aea353497%3A0x9850075d8f0d1b7e!2sSumadhura&#39;s%20-%20Gardens%20By%20The%20Brook!5e1!3m2!1sen!2sin!4v1761048269754!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","https://salessteer.com/crmdemo/attachments/galarys/926c9b18d7241e4cd24ac8d1bd57e025.webp,https://salessteer.com/crmdemo/attachments/galarys/e1a32ee3f08e04ed42e17e76c22a1f58.webp, https://salessteer.com/crmdemo/attachments/galarys/fac4f05190d81e11b8b89bac33812041.webp",,https://www.youtube.com/watch?v=WDdZ1XSYsgU
ALP016,sumadhura-gardens-brook,Sumadhura Gardens: 2/3 BHK Flats in Shamshabad,"View amenities, floor plans, and price for Sumadhura Gardens by The Brook in Shamshabad, Hyderabad.",Sumadhura Gardens By The Brook,Apartment,Sumadhura Infracon Pvt Ltd,P02400006812,9.32,908,Under Construction,"Sep, 2025",Check out this residential project...,"72% Open Space, G+44 Floors","2 BHK, 2.5 BHK, 3 BHK",1285,1680,6850,88,120,Shamshabad / Kokapet,"228 Of Gaganpahad Village, Shamshabad","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4652.900164949814!2d78.41266597516261!3d17.285415683584553!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbbd3aea353497%3A0x9850075d8f0d1b7e!2sSumadhura&#39;s%20-%20Gardens%20By%20The%20Brook!5e1!3m2!1sen!2sin!4v1761048269754!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","https://salessteer.com/crmdemo/attachments/galarys/926c9b18d7241e4cd24ac8d1bd57e025.webp,https://salessteer.com/crmdemo/attachments/galarys/e1a32ee3f08e04ed42e17e76c22a1f58.webp, https://salessteer.com/crmdemo/attachments/galarys/fac4f05190d81e11b8b89bac33812041.webp",,https://www.youtube.com/watch?v=WDdZ1XSYsgU
ALP016,sumadhura-gardens-brook,Sumadhura Gardens: 2/3 BHK Flats in Shamshabad,"View amenities, floor plans, and price for Sumadhura Gardens by The Brook in Shamshabad, Hyderabad.",Sumadhura Gardens By The Brook,Apartment,Sumadhura Infracon Pvt Ltd,P02400006812,9.32,908,Under Construction,"Sep, 2025",Check out this residential project...,"72% Open Space, G+44 Floors","2 BHK, 2.5 BHK, 3 BHK",1285,1680,6850,88,120,Shamshabad / Kokapet,"228 Of Gaganpahad Village, Shamshabad","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4652.900164949814!2d78.41266597516261!3d17.285415683584553!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbbd3aea353497%3A0x9850075d8f0d1b7e!2sSumadhura&#39;s%20-%20Gardens%20By%20The%20Brook!5e1!3m2!1sen!2sin!4v1761048269754!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","https://salessteer.com/crmdemo/attachments/galarys/926c9b18d7241e4cd24ac8d1bd57e025.webp,https://salessteer.com/crmdemo/attachments/galarys/e1a32ee3f08e04ed42e17e76c22a1f58.webp, https://salessteer.com/crmdemo/attachments/galarys/fac4f05190d81e11b8b89bac33812041.webp",,https://www.youtube.com/watch?v=WDdZ1XSYsgU
ALP016,sumadhura-gardens-brook,Sumadhura Gardens: 2/3 BHK Flats in Shamshabad,"View amenities, floor plans, and price for Sumadhura Gardens by The Brook in Shamshabad, Hyderabad.",Sumadhura Gardens By The Brook,Apartment,Sumadhura Infracon Pvt Ltd,P02400006812,9.32,908,Under Construction,"Sep, 2025",Check out this residential project...,"72% Open Space, G+44 Floors","2 BHK, 2.5 BHK, 3 BHK",1285,1680,6850,88,120,Shamshabad / Kokapet,"228 Of Gaganpahad Village, Shamshabad","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4652.900164949814!2d78.41266597516261!3d17.285415683584553!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbbd3aea353497%3A0x9850075d8f0d1b7e!2sSumadhura&#39;s%20-%20Gardens%20By%20The%20Brook!5e1!3m2!1sen!2sin!4v1761048269754!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","https://salessteer.com/crmdemo/attachments/galarys/926c9b18d7241e4cd24ac8d1bd57e025.webp,https://salessteer.com/crmdemo/attachments/galarys/e1a32ee3f08e04ed42e17e76c22a1f58.webp, https://salessteer.com/crmdemo/attachments/galarys/fac4f05190d81e11b8b89bac33812041.webp",,https://www.youtube.com/watch?v=WDdZ1XSYsgU
ALP016,sumadhura-gardens-brook,Sumadhura Gardens: 2/3 BHK Flats in Shamshabad,"View amenities, floor plans, and price for Sumadhura Gardens by The Brook in Shamshabad, Hyderabad.",Sumadhura Gardens By The Brook,Apartment,Sumadhura Infracon Pvt Ltd,P02400006812,9.32,908,Under Construction,"Sep, 2025",Check out this residential project...,"72% Open Space, G+44 Floors","2 BHK, 2.5 BHK, 3 BHK",1285,1680,6850,88,120,Shamshabad / Kokapet,"228 Of Gaganpahad Village, Shamshabad","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4652.900164949814!2d78.41266597516261!3d17.285415683584553!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bcbbd3aea353497%3A0x9850075d8f0d1b7e!2sSumadhura&#39;s%20-%20Gardens%20By%20The%20Brook!5e1!3m2!1sen!2sin!4v1761048269754!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","https://salessteer.com/crmdemo/attachments/galarys/926c9b18d7241e4cd24ac8d1bd57e025.webp,https://salessteer.com/crmdemo/attachments/galarys/e1a32ee3f08e04ed42e17e76c22a1f58.webp, https://salessteer.com/crmdemo/attachments/galarys/fac4f05190d81e11b8b89bac33812041.webp",,https://www.youtube.com/watch?v=WDdZ1XSYsgU
